pid,labels
0,"182,334,397"
1,"3,168,200"
2,"194,397,444"
3,"346,360,397"
4,"10,69,73"
5,"9,235,514"
6,"187,241,397"
7,"29,182,263"
8,"49,376,455"
9,"187,241,301"
10,"187,241,340"
11,"182,196,340"
12,"302,315,334"
13,"340,355,456"
14,"187,241,270"
15,"302,315,364"
16,"73,80,448"
17,"194,359,397"
18,"187,334,397"
19,"220,221,242"
20,"80,315,483"
21,"2,346,397"
22,"16,204,334"
23,"334,340,430"
24,"366,397,480"
25,"214,397,484"
26,"196,315,334"
27,"187,241,315"
28,"3,168,200"
29,"182,196,436"
30,"204,215,315"
31,"194,270,382"
32,"187,194,397"
33,"10,69,315"
34,"25,220,242"
35,"194,270,340"
36,"270,301,444"
37,"69,300,401"
38,"182,204,315"
39,"187,302,334"
40,"397,444,484"
41,"200,340,455"
42,"315,374,382"
43,"254,346,397"
44,"69,73,397"
45,"187,241,444"
46,"16,168,194"
47,"69,221,419"
48,"73,397,484"
49,"204,215,315"
50,"182,196,270"
51,"16,194,315"
52,"95,187,241"
53,"204,340,419"
54,"108,270,301"
55,"194,270,315"
56,"80,340,455"
57,"182,196,374"
58,"182,196,514"
59,"182,194,315"
60,"73,315,397"
61,"323,455,524"
62,"455,458,482"
63,"182,270,514"
64,"182,346,397"
65,"340,449,484"
66,"73,80,518"
67,"10,187,444"
68,"187,200,241"
69,"254,397,484"
70,"187,241,419"
71,"10,80,397"
72,"194,382,419"
73,"182,194,430"
74,"10,25,345"
75,"340,357,455"
76,"187,241,397"
77,"355,397,456"
78,"108,204,334"
79,"25,220,242"
80,"80,397,484"
81,"187,204,241"
82,"397,501,511"
83,"196,302,514"
84,"182,242,382"
85,"214,270,397"
86,"194,444,484"
87,"196,315,334"
88,"129,182,214"
89,"214,397,480"
90,"313,346,397"
91,"25,221,510"
92,"214,254,397"
93,"182,397,480"
94,"366,397,510"
95,"187,241,455"
96,"10,49,73"
97,"187,194,315"
98,"95,402,448"
99,"23,251,397"
100,"397,511,514"
101,"214,397,444"
102,"214,366,397"
103,"108,204,301"
104,"242,397,510"
105,"313,340,397"
106,"73,80,182"
107,"10,49,397"
108,"2,360,497"
109,"9,270,410"
110,"16,127,194"
111,"128,129,186"
112,"182,366,397"
113,"187,241,397"
114,"25,220,242"
115,"80,187,397"
116,"108,204,301"
117,"444,480,484"
118,"194,315,397"
119,"187,241,340"
120,"204,215,315"
121,"340,397,425"
122,"69,187,241"
123,"168,194,382"
124,"182,270,301"
125,"187,196,315"
126,"10,291,444"
127,"10,397,501"
128,"172,340,484"
129,"95,340,524"
130,"187,241,397"
131,"397,485,511"
132,"10,448,514"
133,"187,241,364"
134,"182,340,374"
135,"95,187,241"
136,"313,397,485"
137,"313,346,397"
138,"340,346,397"
139,"346,397,480"
140,"187,241,397"
141,"340,346,397"
142,"397,444,480"
143,"340,397,484"
144,"80,397,501"
145,"314,397,501"
146,"108,182,301"
147,"359,397,480"
148,"25,80,448"
149,"182,196,334"
150,"80,397,444"
151,"270,346,397"
152,"182,196,382"
153,"355,425,456"
154,"194,270,444"
155,"128,129,511"
156,"69,187,241"
157,"95,402,448"
158,"172,182,194"
159,"346,455,484"
160,"214,397,511"
161,"397,444,501"
162,"182,196,397"
163,"182,194,397"
164,"280,425,480"
165,"315,328,397"
166,"10,80,448"
167,"80,397,510"
168,"397,485,511"
169,"196,397,484"
170,"397,444,484"
171,"182,194,270"
172,"194,204,397"
173,"182,455,484"
174,"196,315,334"
175,"29,214,397"
176,"346,397,455"
177,"80,366,397"
178,"182,187,397"
179,"23,26,251"
180,"182,315,366"
181,"182,204,366"
182,"313,340,397"
183,"16,182,194"
184,"340,455,484"
185,"69,73,401"
186,"2,372,497"
187,"301,302,459"
188,"80,214,397"
189,"128,129,186"
190,"10,69,444"
191,"315,444,484"
192,"214,397,444"
193,"397,484,501"
194,"187,241,480"
195,"301,387,465"
196,"10,69,73"
197,"182,196,302"
198,"128,129,186"
199,"346,397,444"
200,"80,182,397"
201,"10,270,514"
202,"182,194,436"
203,"182,187,270"
204,"10,69,315"
205,"194,364,419"
206,"314,346,397"
207,"397,484,501"
208,"242,397,444"
209,"10,80,448"
210,"346,397,501"
211,"214,397,501"
212,"340,425,484"
213,"182,340,366"
214,"280,444,455"
215,"80,196,397"
216,"270,315,382"
217,"182,194,382"
218,"16,182,315"
219,"196,302,315"
220,"397,444,480"
221,"214,355,456"
222,"182,194,340"
223,"10,69,80"
224,"302,315,334"
225,"214,455,458"
226,"80,214,397"
227,"69,196,419"
228,"3,194,200"
229,"194,221,419"
230,"10,242,510"
231,"80,270,397"
232,"346,360,455"
233,"270,301,382"
234,"187,241,315"
235,"80,359,397"
236,"397,444,480"
237,"80,346,397"
238,"221,242,510"
239,"221,346,397"
240,"314,397,511"
241,"357,360,455"
242,"300,315,401"
243,"73,92,480"
244,"214,360,397"
245,"187,241,397"
246,"187,194,419"
247,"315,334,406"
248,"3,200,419"
249,"254,366,397"
250,"10,73,448"
251,"25,340,425"
252,"301,315,374"
253,"364,376,425"
254,"2,315,480"
255,"80,397,444"
256,"248,270,382"
257,"16,204,480"
258,"80,314,397"
259,"69,397,501"
260,"80,397,448"
261,"194,315,382"
262,"187,241,334"
263,"69,397,484"
264,"187,194,315"
265,"182,397,455"
266,"80,346,397"
267,"182,194,455"
268,"182,196,430"
269,"196,315,334"
270,"124,194,243"
271,"80,214,397"
272,"49,430,436"
273,"182,242,340"
274,"10,73,221"
275,"80,187,241"
276,"194,397,480"
277,"108,301,340"
278,"182,196,334"
279,"80,187,241"
280,"270,346,397"
281,"10,25,345"
282,"355,455,456"
283,"127,187,241"
284,"204,242,510"
285,"108,301,430"
286,"10,80,397"
287,"214,397,456"
288,"80,302,334"
289,"128,129,186"
290,"346,360,455"
291,"270,315,430"
292,"10,313,397"
293,"10,49,397"
294,"80,196,397"
295,"194,215,315"
296,"196,302,315"
297,"168,194,484"
298,"315,374,480"
299,"3,301,459"
300,"194,196,270"
301,"127,301,374"
302,"182,187,196"
303,"182,196,315"
304,"254,366,397"
305,"357,360,455"
306,"182,397,425"
307,"251,355,456"
308,"10,25,49"
309,"340,397,484"
310,"214,254,397"
311,"182,364,455"
312,"182,194,340"
313,"80,397,484"
314,"3,200,221"
315,"397,425,455"
316,"194,315,397"
317,"182,315,366"
318,"182,301,382"
319,"314,397,501"
320,"2,397,480"
321,"187,241,302"
322,"366,397,480"
323,"340,397,484"
324,"302,315,334"
325,"29,483,510"
326,"214,364,374"
327,"182,374,382"
328,"2,182,434"
329,"397,444,480"
330,"315,430,518"
331,"315,346,397"
332,"2,254,497"
333,"182,196,340"
334,"357,360,455"
335,"187,315,334"
336,"187,241,315"
337,"187,241,455"
338,"16,194,204"
339,"108,301,459"
340,"221,242,510"
341,"108,204,301"
342,"128,129,186"
343,"182,366,397"
344,"80,397,484"
345,"242,340,397"
346,"204,215,315"
347,"397,444,484"
348,"182,196,315"
349,"80,242,510"
350,"10,45,69"
351,"80,270,315"
352,"80,254,397"
353,"10,69,73"
354,"196,397,484"
355,"10,187,241"
356,"128,129,397"
357,"196,397,444"
358,"357,360,455"
359,"323,448,524"
360,"182,301,340"
361,"95,402,448"
362,"108,301,459"
363,"215,315,366"
364,"221,242,510"
365,"387,438,465"
366,"196,397,511"
367,"346,397,514"
368,"16,182,187"
369,"315,444,480"
370,"182,196,270"
371,"16,127,270"
372,"196,315,334"
373,"315,346,455"
374,"9,376,425"
375,"69,187,241"
376,"10,397,444"
377,"80,315,397"
378,"29,187,419"
379,"25,80,359"
380,"182,196,315"
381,"366,444,480"
382,"397,444,480"
383,"187,241,315"
384,"182,187,194"
385,"10,49,436"
386,"25,242,510"
387,"270,315,382"
388,"2,254,497"
389,"182,196,397"
390,"10,25,340"
391,"196,397,480"
392,"214,397,455"
393,"69,73,397"
394,"340,346,425"
395,"235,270,514"
396,"323,340,524"
397,"196,315,397"
398,"315,397,484"
399,"80,397,484"
400,"397,448,485"
401,"10,196,444"
402,"16,108,301"
403,"2,372,444"
404,"73,315,484"
405,"9,360,455"
406,"182,187,194"
407,"187,241,444"
408,"187,194,241"
409,"182,315,397"
410,"397,425,480"
411,"16,182,364"
412,"10,47,49"
413,"16,182,374"
414,"9,235,270"
415,"80,315,484"
416,"214,397,484"
417,"220,221,425"
418,"10,69,397"
419,"80,315,397"
420,"346,397,511"
421,"220,221,242"
422,"355,397,456"
423,"270,382,397"
424,"355,397,456"
425,"214,397,480"
426,"346,397,455"
427,"182,194,315"
428,"25,187,241"
429,"315,444,480"
430,"346,397,501"
431,"397,456,514"
432,"69,397,419"
433,"9,357,455"
434,"10,315,419"
435,"194,455,484"
436,"397,444,480"
437,"187,220,241"
438,"182,270,315"
439,"127,182,263"
440,"397,419,484"
441,"340,346,425"
442,"16,187,194"
443,"172,194,315"
444,"214,397,444"
445,"182,204,340"
446,"340,425,484"
447,"10,397,448"
448,"187,315,334"
449,"313,397,485"
450,"355,444,514"
451,"214,455,482"
452,"16,315,364"
453,"315,334,340"
454,"172,194,417"
455,"263,374,452"
456,"80,346,397"
457,"80,323,524"
458,"182,194,196"
459,"73,270,397"
460,"29,355,456"
461,"127,187,241"
462,"80,187,484"
463,"315,334,480"
464,"346,397,444"
465,"456,458,482"
466,"80,270,397"
467,"2,128,129"
468,"10,69,73"
469,"366,397,480"
470,"366,397,444"
471,"9,346,514"
472,"302,315,334"
473,"2,214,254"
474,"182,397,514"
475,"355,455,456"
476,"397,444,484"
477,"168,194,382"
478,"196,215,315"
479,"10,69,80"
480,"334,397,452"
481,"10,73,242"
482,"366,444,480"
483,"346,397,501"
484,"29,194,455"
485,"9,270,410"
486,"80,254,323"
487,"364,425,497"
488,"187,194,241"
489,"302,315,364"
490,"80,323,524"
491,"182,315,401"
492,"80,315,323"
493,"214,397,484"
494,"182,196,315"
495,"214,346,397"
496,"16,374,518"
497,"220,221,242"
498,"235,270,410"
499,"95,241,402"
500,"16,194,315"
501,"182,270,480"
502,"359,397,518"
503,"80,323,524"
504,"3,168,200"
505,"314,346,397"
506,"196,315,334"
507,"69,187,374"
508,"108,182,301"
509,"182,194,397"
510,"204,334,419"
511,"160,204,334"
512,"69,73,397"
513,"270,315,397"
514,"182,340,484"
515,"196,315,334"
516,"187,241,397"
517,"194,315,374"
518,"187,241,510"
519,"16,194,204"
520,"220,221,340"
521,"2,397,480"
522,"10,397,448"
523,"315,374,382"
524,"80,397,444"
525,"29,214,397"
526,"80,315,397"
527,"80,397,444"
528,"196,302,334"
529,"214,241,397"
530,"73,80,315"
531,"25,221,510"
532,"314,397,501"
533,"397,455,458"
534,"270,315,374"
535,"29,214,397"
536,"182,194,315"
537,"9,270,514"
538,"340,397,484"
539,"182,196,270"
540,"340,360,397"
541,"196,397,484"
542,"80,182,196"
543,"182,270,301"
544,"182,187,419"
545,"187,315,334"
546,"80,323,448"
547,"196,315,334"
548,"108,182,194"
549,"49,80,323"
550,"301,302,459"
551,"235,270,514"
552,"270,397,511"
553,"220,221,242"
554,"314,397,511"
555,"69,73,315"
556,"80,270,397"
557,"214,397,484"
558,"69,73,397"
559,"80,328,397"
560,"221,425,456"
561,"340,366,449"
562,"220,221,242"
563,"343,397,436"
564,"80,315,340"
565,"73,80,510"
566,"313,397,485"
567,"357,360,455"
568,"196,315,334"
569,"67,69,73"
570,"69,187,419"
571,"346,455,498"
572,"204,366,449"
573,"204,334,430"
574,"73,80,397"
575,"315,334,340"
576,"196,302,397"
577,"397,485,501"
578,"397,484,501"
579,"10,69,419"
580,"323,455,524"
581,"182,196,315"
582,"372,397,444"
583,"16,182,315"
584,"196,315,423"
585,"9,357,455"
586,"25,220,242"
587,"270,315,455"
588,"397,485,511"
589,"108,301,459"
590,"214,397,501"
591,"69,73,80"
592,"194,215,315"
593,"80,314,397"
594,"25,220,221"
595,"80,315,374"
596,"270,397,501"
597,"80,221,397"
598,"108,301,340"
599,"194,397,484"
600,"204,315,417"
601,"92,270,382"
602,"3,200,340"
603,"280,444,480"
604,"166,182,196"
605,"9,346,360"
606,"160,315,334"
607,"340,455,498"
608,"355,360,366"
609,"187,397,455"
610,"315,364,436"
611,"29,397,501"
612,"254,340,436"
613,"3,200,340"
614,"80,397,501"
615,"366,444,449"
616,"10,47,62"
617,"80,270,397"
618,"254,397,484"
619,"366,444,480"
620,"355,397,456"
621,"182,214,397"
622,"397,444,480"
623,"302,315,334"
624,"194,270,425"
625,"313,360,397"
626,"25,194,510"
627,"301,374,382"
628,"10,73,182"
629,"80,182,196"
630,"10,242,328"
631,"235,270,410"
632,"315,397,480"
633,"80,315,374"
634,"397,444,480"
635,"80,214,397"
636,"196,302,315"
637,"194,215,315"
638,"196,302,315"
639,"172,340,355"
640,"182,196,436"
641,"9,187,241"
642,"270,302,374"
643,"214,397,484"
644,"73,182,397"
645,"128,129,186"
646,"80,270,397"
647,"346,397,501"
648,"182,196,315"
649,"16,397,444"
650,"80,242,397"
651,"29,73,182"
652,"10,69,73"
653,"73,315,374"
654,"2,366,480"
655,"168,382,401"
656,"182,196,340"
657,"235,270,410"
658,"340,397,484"
659,"187,194,200"
660,"315,340,444"
661,"214,397,455"
662,"366,480,484"
663,"196,270,315"
664,"69,204,419"
665,"346,397,498"
666,"73,80,397"
667,"25,242,510"
668,"29,214,397"
669,"214,397,444"
670,"73,315,397"
671,"73,215,315"
672,"220,242,510"
673,"360,455,498"
674,"16,300,401"
675,"16,204,480"
676,"166,196,397"
677,"3,194,200"
678,"182,196,397"
679,"220,221,242"
680,"235,270,410"
681,"270,397,444"
682,"80,323,524"
683,"182,315,382"
684,"196,302,315"
685,"346,455,498"
686,"10,346,397"
687,"214,444,480"
688,"25,346,397"
689,"220,242,510"
690,"194,397,484"
691,"182,270,397"
692,"214,366,480"
693,"182,242,397"
694,"235,270,410"
695,"270,397,444"
696,"397,501,511"
697,"16,241,263"
698,"10,182,419"
699,"92,215,417"
700,"314,397,484"
701,"73,214,397"
702,"187,241,397"
703,"359,374,397"
704,"270,346,397"
705,"302,315,455"
706,"194,315,374"
707,"29,187,315"
708,"355,376,425"
709,"49,182,273"
710,"194,366,480"
711,"196,302,315"
712,"16,194,263"
713,"2,254,497"
714,"315,323,455"
715,"10,49,376"
716,"315,334,340"
717,"182,397,483"
718,"182,397,484"
719,"10,69,73"
720,"2,397,480"
721,"67,69,73"
722,"187,241,315"
723,"182,301,340"
724,"182,194,397"
725,"2,397,480"
726,"355,444,455"
727,"280,346,397"
728,"80,182,444"
729,"29,339,419"
730,"251,346,397"
731,"80,315,359"
732,"3,182,200"
733,"73,397,501"
734,"187,241,397"
735,"214,397,480"
736,"10,242,510"
737,"73,182,382"
738,"69,73,419"
739,"397,485,511"
740,"270,397,444"
741,"355,397,484"
742,"108,301,459"
743,"10,80,397"
744,"187,241,346"
745,"182,196,301"
746,"196,302,315"
747,"80,187,241"
748,"182,397,444"
749,"80,397,448"
750,"214,397,480"
751,"92,346,397"
752,"25,315,340"
753,"314,397,511"
754,"194,315,397"
755,"204,215,315"
756,"73,402,448"
757,"182,187,241"
758,"16,80,182"
759,"16,204,334"
760,"359,397,480"
761,"73,92,214"
762,"187,241,315"
763,"182,194,315"
764,"182,315,340"
765,"346,397,444"
766,"340,360,397"
767,"80,397,511"
768,"340,397,484"
769,"2,464,514"
770,"73,182,196"
771,"187,241,524"
772,"16,194,263"
773,"29,301,340"
774,"182,196,315"
775,"16,194,204"
776,"182,397,444"
777,"182,196,382"
778,"69,73,397"
779,"80,270,397"
780,"80,196,397"
781,"80,397,444"
782,"355,455,456"
783,"270,397,480"
784,"108,187,301"
785,"182,221,425"
786,"214,458,480"
787,"182,270,382"
788,"235,270,514"
789,"80,346,397"
790,"270,315,397"
791,"25,220,221"
792,"10,73,313"
793,"69,80,397"
794,"10,25,510"
795,"315,340,397"
796,"340,449,484"
797,"182,242,397"
798,"92,187,241"
799,"69,73,270"
800,"73,80,315"
801,"182,397,514"
802,"397,501,511"
803,"16,194,340"
804,"346,455,484"
805,"10,25,80"
806,"397,501,511"
807,"187,397,448"
808,"182,187,241"
809,"127,194,263"
810,"10,346,397"
811,"346,397,485"
812,"69,73,315"
813,"360,455,498"
814,"215,315,340"
815,"182,270,315"
816,"194,214,449"
817,"182,397,444"
818,"80,359,397"
819,"182,270,301"
820,"214,340,397"
821,"182,196,270"
822,"80,214,397"
823,"10,270,514"
824,"16,182,301"
825,"69,73,397"
826,"355,397,456"
827,"80,214,397"
828,"397,444,480"
829,"187,241,243"
830,"69,314,397"
831,"214,360,482"
832,"67,69,73"
833,"315,382,401"
834,"397,480,484"
835,"204,243,417"
836,"69,73,80"
837,"204,334,340"
838,"127,182,196"
839,"3,182,200"
